"year";"week";"KW";"City.of.Bern";"Canton";"Cases.rollsum";"Number_weeks";"weeks.range";"Cases.range"
1918;"1918_w25";25;0;3;3;4;"22_25_1918";0
1918;"1918_w26";26;0;0;3;4;"23_26_1918";0
1918;"1918_w27";27;7;16;19;4;"24_27_1918";0
1918;"1918_w28";28;60;298;317;4;"25_28_1918";0
1918;"1918_w29";29;240;1439;1753;4;"26_29_1918";0.02
1918;"1918_w30";30;2713;7845;9598;4;"27_30_1918";0.12
1918;"1918_w31";31;1801;7046;16628;4;"28_31_1918";0.2
1918;"1918_w32";32;641;3581;19911;4;"29_32_1918";0.24
1918;"1918_w33";33;236;1509;19981;4;"30_33_1918";0.24
1918;"1918_w34";34;115;903;13039;4;"31_34_1918";0.16
1918;"1918_w35";35;100;773;6766;4;"32_35_1918";0.08
1918;"1918_w36";36;31;406;3591;4;"33_36_1918";0.04
1918;"1918_w37";37;89;380;2462;4;"34_37_1918";0.03
1918;"1918_w38";38;0;222;1781;4;"35_38_1918";0.02
1918;"1918_w39";39;222;775;1783;4;"36_39_1918";0.02
1918;"1918_w40";40;304;1624;3001;4;"37_40_1918";0.04
1918;"1918_w41";41;622;2893;5514;4;"38_41_1918";0.07
1918;"1918_w42";42;751;3192;8484;4;"39_42_1918";0.1
1918;"1918_w43";43;1600;6437;14146;4;"40_43_1918";0.17
1918;"1918_w44";44;2118;9081;21603;4;"41_44_1918";0.26
1918;"1918_w45";45;1316;8596;27306;4;"42_45_1918";0.33
1918;"1918_w46";46;1634;7294;31408;4;"43_46_1918";0.38
1918;"1918_w47";47;633;5395;30366;4;"44_47_1918";0.37
1918;"1918_w48";48;1770;8133;29418;4;"45_48_1918";0.36
1918;"1918_w49";49;1564;7631;28453;4;"46_49_1918";0.35
1918;"1918_w50";50;677;8438;29597;4;"47_50_1918";0.36
1918;"1918_w51";51;420;3886;28088;4;"48_51_1918";0.34
1918;"1918_w52";52;181;4102;24057;4;"49_52_1918";0.29
1919;"1919_w1";1;94;1723;18149;4;"50_1_1919";0.22
1919;"1919_w2";2;150;2107;11818;4;"51_2_1919";0.14
1919;"1919_w3";3;172;1428;9360;4;"52_3_1919";0.11
1919;"1919_w4";4;113;1520;6778;4;"1_4_1919";0.08
1919;"1919_w5";5;409;1199;6254;4;"2_5_1919";0.08
1919;"1919_w6";6;524;2030;6177;4;"3_6_1919";0.08
1919;"1919_w7";7;393;921;5670;4;"4_7_1919";0.07
1919;"1919_w8";8;437;2050;6200;4;"5_8_1919";0.08
1919;"1919_w9";9;468;1117;6118;4;"6_9_1919";0.07
1919;"1919_w10";10;353;937;5025;4;"7_10_1919";0.06
1919;"1919_w11";11;266;1233;5337;4;"8_11_1919";0.07
1919;"1919_w12";12;167;534;3821;4;"9_12_1919";0.05
1919;"1919_w13";13;92;656;3360;4;"10_13_1919";0.04
1919;"1919_w14";14;77;374;2797;4;"11_14_1919";0.03
1919;"1919_w15";15;49;613;2177;4;"12_15_1919";0.03
1919;"1919_w16";16;0;121;1764;4;"13_16_1919";0.02
1919;"1919_w17";17;57;328;1436;4;"14_17_1919";0.02
1919;"1919_w18";18;35;69;1131;4;"15_18_1919";0.01
1919;"1919_w19";19;0;53;571;4;"16_19_1919";0.01
1919;"1919_w20";20;2;95;545;4;"17_20_1919";0.01
1919;"1919_w21";21;0;35;252;4;"18_21_1919";0
1919;"1919_w22";22;11;64;247;4;"19_22_1919";0
1919;"1919_w23";23;3;22;216;4;"20_23_1919";0
1919;"1919_w24";24;1;8;129;4;"21_24_1919";0
1919;"1919_w25";25;1;17;111;4;"22_25_1919";0
1919;"1919_w26";26;0;0;47;4;"23_26_1919";0
1919;"1919_w27";27;0;0;25;4;"24_27_1919";0
1919;"1919_w28";28;0;0;17;4;"25_28_1919";0
1919;"1919_w29";29;0;0;0;4;"26_29_1919";0
1919;"1919_w30";30;0;0;0;4;"27_30_1919";0
1919;"1919_w31";31;0;0;0;4;"28_31_1919";0
1919;"1919_w32";32;0;0;0;4;"29_32_1919";0
1919;"1919_w33";33;0;0;0;4;"30_33_1919";0
1919;"1919_w34";34;0;0;0;4;"31_34_1919";0
1919;"1919_w35";35;0;0;0;4;"32_35_1919";0
1919;"1919_w36";36;0;0;0;4;"33_36_1919";0
1919;"1919_w37";37;0;0;0;4;"34_37_1919";0
1919;"1919_w38";38;0;0;0;4;"35_38_1919";0
1919;"1919_w39";39;0;0;0;4;"36_39_1919";0
1919;"1919_w40";40;0;0;0;4;"37_40_1919";0
1919;"1919_w41";41;0;0;0;4;"38_41_1919";0
1918;"1918_w25";25;0;3;3;5;"21_25_1918";0
1918;"1918_w26";26;0;0;3;5;"22_26_1918";0
1918;"1918_w27";27;7;16;19;5;"23_27_1918";0
1918;"1918_w28";28;60;298;317;5;"24_28_1918";0
1918;"1918_w29";29;240;1439;1756;5;"25_29_1918";0.02
1918;"1918_w30";30;2713;7845;9598;5;"26_30_1918";0.12
1918;"1918_w31";31;1801;7046;16644;5;"27_31_1918";0.2
1918;"1918_w32";32;641;3581;20209;5;"28_32_1918";0.25
1918;"1918_w33";33;236;1509;21420;5;"29_33_1918";0.26
1918;"1918_w34";34;115;903;20884;5;"30_34_1918";0.25
1918;"1918_w35";35;100;773;13812;5;"31_35_1918";0.17
1918;"1918_w36";36;31;406;7172;5;"32_36_1918";0.09
1918;"1918_w37";37;89;380;3971;5;"33_37_1918";0.05
1918;"1918_w38";38;0;222;2684;5;"34_38_1918";0.03
1918;"1918_w39";39;222;775;2556;5;"35_39_1918";0.03
1918;"1918_w40";40;304;1624;3407;5;"36_40_1918";0.04
1918;"1918_w41";41;622;2893;5894;5;"37_41_1918";0.07
1918;"1918_w42";42;751;3192;8706;5;"38_42_1918";0.11
1918;"1918_w43";43;1600;6437;14921;5;"39_43_1918";0.18
1918;"1918_w44";44;2118;9081;23227;5;"40_44_1918";0.28
1918;"1918_w45";45;1316;8596;30199;5;"41_45_1918";0.37
1918;"1918_w46";46;1634;7294;34600;5;"42_46_1918";0.42
1918;"1918_w47";47;633;5395;36803;5;"43_47_1918";0.45
1918;"1918_w48";48;1770;8133;38499;5;"44_48_1918";0.47
1918;"1918_w49";49;1564;7631;37049;5;"45_49_1918";0.45
1918;"1918_w50";50;677;8438;36891;5;"46_50_1918";0.45
1918;"1918_w51";51;420;3886;33483;5;"47_51_1918";0.41
1918;"1918_w52";52;181;4102;32190;5;"48_52_1918";0.39
1919;"1919_w1";1;94;1723;25780;5;"49_1_1919";0.31
1919;"1919_w2";2;150;2107;20256;5;"50_2_1919";0.25
1919;"1919_w3";3;172;1428;13246;5;"51_3_1919";0.16
1919;"1919_w4";4;113;1520;10880;5;"52_4_1919";0.13
1919;"1919_w5";5;409;1199;7977;5;"1_5_1919";0.1
1919;"1919_w6";6;524;2030;8284;5;"2_6_1919";0.1
1919;"1919_w7";7;393;921;7098;5;"3_7_1919";0.09
1919;"1919_w8";8;437;2050;7720;5;"4_8_1919";0.09
1919;"1919_w9";9;468;1117;7317;5;"5_9_1919";0.09
1919;"1919_w10";10;353;937;7055;5;"6_10_1919";0.09
1919;"1919_w11";11;266;1233;6258;5;"7_11_1919";0.08
1919;"1919_w12";12;167;534;5871;5;"8_12_1919";0.07
1919;"1919_w13";13;92;656;4477;5;"9_13_1919";0.05
1919;"1919_w14";14;77;374;3734;5;"10_14_1919";0.05
1919;"1919_w15";15;49;613;3410;5;"11_15_1919";0.04
1919;"1919_w16";16;0;121;2298;5;"12_16_1919";0.03
1919;"1919_w17";17;57;328;2092;5;"13_17_1919";0.03
1919;"1919_w18";18;35;69;1505;5;"14_18_1919";0.02
1919;"1919_w19";19;0;53;1184;5;"15_19_1919";0.01
1919;"1919_w20";20;2;95;666;5;"16_20_1919";0.01
1919;"1919_w21";21;0;35;580;5;"17_21_1919";0.01
1919;"1919_w22";22;11;64;316;5;"18_22_1919";0
1919;"1919_w23";23;3;22;269;5;"19_23_1919";0
1919;"1919_w24";24;1;8;224;5;"20_24_1919";0
1919;"1919_w25";25;1;17;146;5;"21_25_1919";0
1919;"1919_w26";26;0;0;111;5;"22_26_1919";0
1919;"1919_w27";27;0;0;47;5;"23_27_1919";0
1919;"1919_w28";28;0;0;25;5;"24_28_1919";0
1919;"1919_w29";29;0;0;17;5;"25_29_1919";0
1919;"1919_w30";30;0;0;0;5;"26_30_1919";0
1919;"1919_w31";31;0;0;0;5;"27_31_1919";0
1919;"1919_w32";32;0;0;0;5;"28_32_1919";0
1919;"1919_w33";33;0;0;0;5;"29_33_1919";0
1919;"1919_w34";34;0;0;0;5;"30_34_1919";0
1919;"1919_w35";35;0;0;0;5;"31_35_1919";0
1919;"1919_w36";36;0;0;0;5;"32_36_1919";0
1919;"1919_w37";37;0;0;0;5;"33_37_1919";0
1919;"1919_w38";38;0;0;0;5;"34_38_1919";0
1919;"1919_w39";39;0;0;0;5;"35_39_1919";0
1919;"1919_w40";40;0;0;0;5;"36_40_1919";0
1919;"1919_w41";41;0;0;0;5;"37_41_1919";0
1918;"1918_w25";25;0;3;3;6;"20_25_1918";0
1918;"1918_w26";26;0;0;3;6;"21_26_1918";0
1918;"1918_w27";27;7;16;19;6;"22_27_1918";0
1918;"1918_w28";28;60;298;317;6;"23_28_1918";0
1918;"1918_w29";29;240;1439;1756;6;"24_29_1918";0.02
1918;"1918_w30";30;2713;7845;9601;6;"25_30_1918";0.12
1918;"1918_w31";31;1801;7046;16644;6;"26_31_1918";0.2
1918;"1918_w32";32;641;3581;20225;6;"27_32_1918";0.25
1918;"1918_w33";33;236;1509;21718;6;"28_33_1918";0.26
1918;"1918_w34";34;115;903;22323;6;"29_34_1918";0.27
1918;"1918_w35";35;100;773;21657;6;"30_35_1918";0.26
1918;"1918_w36";36;31;406;14218;6;"31_36_1918";0.17
1918;"1918_w37";37;89;380;7552;6;"32_37_1918";0.09
1918;"1918_w38";38;0;222;4193;6;"33_38_1918";0.05
1918;"1918_w39";39;222;775;3459;6;"34_39_1918";0.04
1918;"1918_w40";40;304;1624;4180;6;"35_40_1918";0.05
1918;"1918_w41";41;622;2893;6300;6;"36_41_1918";0.08
1918;"1918_w42";42;751;3192;9086;6;"37_42_1918";0.11
1918;"1918_w43";43;1600;6437;15143;6;"38_43_1918";0.18
1918;"1918_w44";44;2118;9081;24002;6;"39_44_1918";0.29
1918;"1918_w45";45;1316;8596;31823;6;"40_45_1918";0.39
1918;"1918_w46";46;1634;7294;37493;6;"41_46_1918";0.46
1918;"1918_w47";47;633;5395;39995;6;"42_47_1918";0.49
1918;"1918_w48";48;1770;8133;44936;6;"43_48_1918";0.55
1918;"1918_w49";49;1564;7631;46130;6;"44_49_1918";0.56
1918;"1918_w50";50;677;8438;45487;6;"45_50_1918";0.55
1918;"1918_w51";51;420;3886;40777;6;"46_51_1918";0.5
1918;"1918_w52";52;181;4102;37585;6;"47_52_1918";0.46
1919;"1919_w1";1;94;1723;33913;6;"48_1_1919";0.41
1919;"1919_w2";2;150;2107;27887;6;"49_2_1919";0.34
1919;"1919_w3";3;172;1428;21684;6;"50_3_1919";0.26
1919;"1919_w4";4;113;1520;14766;6;"51_4_1919";0.18
1919;"1919_w5";5;409;1199;12079;6;"52_5_1919";0.15
1919;"1919_w6";6;524;2030;10007;6;"1_6_1919";0.12
1919;"1919_w7";7;393;921;9205;6;"2_7_1919";0.11
1919;"1919_w8";8;437;2050;9148;6;"3_8_1919";0.11
1919;"1919_w9";9;468;1117;8837;6;"4_9_1919";0.11
1919;"1919_w10";10;353;937;8254;6;"5_10_1919";0.1
1919;"1919_w11";11;266;1233;8288;6;"6_11_1919";0.1
1919;"1919_w12";12;167;534;6792;6;"7_12_1919";0.08
1919;"1919_w13";13;92;656;6527;6;"8_13_1919";0.08
1919;"1919_w14";14;77;374;4851;6;"9_14_1919";0.06
1919;"1919_w15";15;49;613;4347;6;"10_15_1919";0.05
1919;"1919_w16";16;0;121;3531;6;"11_16_1919";0.04
1919;"1919_w17";17;57;328;2626;6;"12_17_1919";0.03
1919;"1919_w18";18;35;69;2161;6;"13_18_1919";0.03
1919;"1919_w19";19;0;53;1558;6;"14_19_1919";0.02
1919;"1919_w20";20;2;95;1279;6;"15_20_1919";0.02
1919;"1919_w21";21;0;35;701;6;"16_21_1919";0.01
1919;"1919_w22";22;11;64;644;6;"17_22_1919";0.01
1919;"1919_w23";23;3;22;338;6;"18_23_1919";0
1919;"1919_w24";24;1;8;277;6;"19_24_1919";0
1919;"1919_w25";25;1;17;241;6;"20_25_1919";0
1919;"1919_w26";26;0;0;146;6;"21_26_1919";0
1919;"1919_w27";27;0;0;111;6;"22_27_1919";0
1919;"1919_w28";28;0;0;47;6;"23_28_1919";0
1919;"1919_w29";29;0;0;25;6;"24_29_1919";0
1919;"1919_w30";30;0;0;17;6;"25_30_1919";0
1919;"1919_w31";31;0;0;0;6;"26_31_1919";0
1919;"1919_w32";32;0;0;0;6;"27_32_1919";0
1919;"1919_w33";33;0;0;0;6;"28_33_1919";0
1919;"1919_w34";34;0;0;0;6;"29_34_1919";0
1919;"1919_w35";35;0;0;0;6;"30_35_1919";0
1919;"1919_w36";36;0;0;0;6;"31_36_1919";0
1919;"1919_w37";37;0;0;0;6;"32_37_1919";0
1919;"1919_w38";38;0;0;0;6;"33_38_1919";0
1919;"1919_w39";39;0;0;0;6;"34_39_1919";0
1919;"1919_w40";40;0;0;0;6;"35_40_1919";0
1919;"1919_w41";41;0;0;0;6;"36_41_1919";0
1918;"1918_w25";25;0;3;3;7;"19_25_1918";0
1918;"1918_w26";26;0;0;3;7;"20_26_1918";0
1918;"1918_w27";27;7;16;19;7;"21_27_1918";0
1918;"1918_w28";28;60;298;317;7;"22_28_1918";0
1918;"1918_w29";29;240;1439;1756;7;"23_29_1918";0.02
1918;"1918_w30";30;2713;7845;9601;7;"24_30_1918";0.12
1918;"1918_w31";31;1801;7046;16647;7;"25_31_1918";0.2
1918;"1918_w32";32;641;3581;20225;7;"26_32_1918";0.25
1918;"1918_w33";33;236;1509;21734;7;"27_33_1918";0.27
1918;"1918_w34";34;115;903;22621;7;"28_34_1918";0.28
1918;"1918_w35";35;100;773;23096;7;"29_35_1918";0.28
1918;"1918_w36";36;31;406;22063;7;"30_36_1918";0.27
1918;"1918_w37";37;89;380;14598;7;"31_37_1918";0.18
1918;"1918_w38";38;0;222;7774;7;"32_38_1918";0.09
1918;"1918_w39";39;222;775;4968;7;"33_39_1918";0.06
1918;"1918_w40";40;304;1624;5083;7;"34_40_1918";0.06
1918;"1918_w41";41;622;2893;7073;7;"35_41_1918";0.09
1918;"1918_w42";42;751;3192;9492;7;"36_42_1918";0.12
1918;"1918_w43";43;1600;6437;15523;7;"37_43_1918";0.19
1918;"1918_w44";44;2118;9081;24224;7;"38_44_1918";0.3
1918;"1918_w45";45;1316;8596;32598;7;"39_45_1918";0.4
1918;"1918_w46";46;1634;7294;39117;7;"40_46_1918";0.48
1918;"1918_w47";47;633;5395;42888;7;"41_47_1918";0.52
1918;"1918_w48";48;1770;8133;48128;7;"42_48_1918";0.59
1918;"1918_w49";49;1564;7631;52567;7;"43_49_1918";0.64
1918;"1918_w50";50;677;8438;54568;7;"44_50_1918";0.67
1918;"1918_w51";51;420;3886;49373;7;"45_51_1918";0.6
1918;"1918_w52";52;181;4102;44879;7;"46_52_1918";0.55
1919;"1919_w1";1;94;1723;39308;7;"47_1_1919";0.48
1919;"1919_w2";2;150;2107;36020;7;"48_2_1919";0.44
1919;"1919_w3";3;172;1428;29315;7;"49_3_1919";0.36
1919;"1919_w4";4;113;1520;23204;7;"50_4_1919";0.28
1919;"1919_w5";5;409;1199;15965;7;"51_5_1919";0.19
1919;"1919_w6";6;524;2030;14109;7;"52_6_1919";0.17
1919;"1919_w7";7;393;921;10928;7;"1_7_1919";0.13
1919;"1919_w8";8;437;2050;11255;7;"2_8_1919";0.14
1919;"1919_w9";9;468;1117;10265;7;"3_9_1919";0.13
1919;"1919_w10";10;353;937;9774;7;"4_10_1919";0.12
1919;"1919_w11";11;266;1233;9487;7;"5_11_1919";0.12
1919;"1919_w12";12;167;534;8822;7;"6_12_1919";0.11
1919;"1919_w13";13;92;656;7448;7;"7_13_1919";0.09
1919;"1919_w14";14;77;374;6901;7;"8_14_1919";0.08
1919;"1919_w15";15;49;613;5464;7;"9_15_1919";0.07
1919;"1919_w16";16;0;121;4468;7;"10_16_1919";0.05
1919;"1919_w17";17;57;328;3859;7;"11_17_1919";0.05
1919;"1919_w18";18;35;69;2695;7;"12_18_1919";0.03
1919;"1919_w19";19;0;53;2214;7;"13_19_1919";0.03
1919;"1919_w20";20;2;95;1653;7;"14_20_1919";0.02
1919;"1919_w21";21;0;35;1314;7;"15_21_1919";0.02
1919;"1919_w22";22;11;64;765;7;"16_22_1919";0.01
1919;"1919_w23";23;3;22;666;7;"17_23_1919";0.01
1919;"1919_w24";24;1;8;346;7;"18_24_1919";0
1919;"1919_w25";25;1;17;294;7;"19_25_1919";0
1919;"1919_w26";26;0;0;241;7;"20_26_1919";0
1919;"1919_w27";27;0;0;146;7;"21_27_1919";0
1919;"1919_w28";28;0;0;111;7;"22_28_1919";0
1919;"1919_w29";29;0;0;47;7;"23_29_1919";0
1919;"1919_w30";30;0;0;25;7;"24_30_1919";0
1919;"1919_w31";31;0;0;17;7;"25_31_1919";0
1919;"1919_w32";32;0;0;0;7;"26_32_1919";0
1919;"1919_w33";33;0;0;0;7;"27_33_1919";0
1919;"1919_w34";34;0;0;0;7;"28_34_1919";0
1919;"1919_w35";35;0;0;0;7;"29_35_1919";0
1919;"1919_w36";36;0;0;0;7;"30_36_1919";0
1919;"1919_w37";37;0;0;0;7;"31_37_1919";0
1919;"1919_w38";38;0;0;0;7;"32_38_1919";0
1919;"1919_w39";39;0;0;0;7;"33_39_1919";0
1919;"1919_w40";40;0;0;0;7;"34_40_1919";0
1919;"1919_w41";41;0;0;0;7;"35_41_1919";0
1918;"1918_w25";25;0;3;3;8;"18_25_1918";0
1918;"1918_w26";26;0;0;3;8;"19_26_1918";0
1918;"1918_w27";27;7;16;19;8;"20_27_1918";0
1918;"1918_w28";28;60;298;317;8;"21_28_1918";0
1918;"1918_w29";29;240;1439;1756;8;"22_29_1918";0.02
1918;"1918_w30";30;2713;7845;9601;8;"23_30_1918";0.12
1918;"1918_w31";31;1801;7046;16647;8;"24_31_1918";0.2
1918;"1918_w32";32;641;3581;20228;8;"25_32_1918";0.25
1918;"1918_w33";33;236;1509;21734;8;"26_33_1918";0.27
1918;"1918_w34";34;115;903;22637;8;"27_34_1918";0.28
1918;"1918_w35";35;100;773;23394;8;"28_35_1918";0.29
1918;"1918_w36";36;31;406;23502;8;"29_36_1918";0.29
1918;"1918_w37";37;89;380;22443;8;"30_37_1918";0.27
1918;"1918_w38";38;0;222;14820;8;"31_38_1918";0.18
1918;"1918_w39";39;222;775;8549;8;"32_39_1918";0.1
1918;"1918_w40";40;304;1624;6592;8;"33_40_1918";0.08
1918;"1918_w41";41;622;2893;7976;8;"34_41_1918";0.1
1918;"1918_w42";42;751;3192;10265;8;"35_42_1918";0.13
1918;"1918_w43";43;1600;6437;15929;8;"36_43_1918";0.19
1918;"1918_w44";44;2118;9081;24604;8;"37_44_1918";0.3
1918;"1918_w45";45;1316;8596;32820;8;"38_45_1918";0.4
1918;"1918_w46";46;1634;7294;39892;8;"39_46_1918";0.49
1918;"1918_w47";47;633;5395;44512;8;"40_47_1918";0.54
1918;"1918_w48";48;1770;8133;51021;8;"41_48_1918";0.62
1918;"1918_w49";49;1564;7631;55759;8;"42_49_1918";0.68
1918;"1918_w50";50;677;8438;61005;8;"43_50_1918";0.74
